model,seed,window_id,dropped_feature,original_reward,ablated_reward,delta_reward,original_sharpe,ablated_sharpe,delta_sharpe
ppo_bayeslvr_attention,7,0,posterior_vol_mean,3317.609854899075,3317.609854899075,0.0,8.247429299043795,8.247429299043795,0.0
ppo_bayeslvr_attention,7,1,posterior_vol_mean,131716.2832943211,131729.0463628349,12.763068513799226,20.501504714952077,20.503575607685292,0.002070892733215146
ppo_bayeslvr_attention,17,0,posterior_vol_mean,3307.704966912862,3307.704966912862,0.0,8.06401430188219,8.06401430188219,0.0
ppo_bayeslvr_attention,17,1,posterior_vol_mean,251891.39158367075,222223.8813432041,-29667.510240466654,29.403228952288288,29.119160889885414,-0.2840680624028735
ppo_bayeslvr_attention,29,0,posterior_vol_mean,5277.8200825906115,5277.8200825906115,0.0,5.935826452523208,5.935826452523208,0.0
ppo_bayeslvr_attention,29,1,posterior_vol_mean,14039.068257772393,14039.068257772393,0.0,11.642107315063438,11.642107315063438,0.0
ppo_bayeslvr_attention,7,0,posterior_vol_var,3317.609854899075,3317.609854899075,0.0,8.247429299043795,8.247429299043795,0.0
ppo_bayeslvr_attention,7,1,posterior_vol_var,131716.2832943211,131716.2832943211,0.0,20.501504714952077,20.501504714952077,0.0
ppo_bayeslvr_attention,17,0,posterior_vol_var,3307.704966912862,3307.704966912862,0.0,8.06401430188219,8.06401430188219,0.0
ppo_bayeslvr_attention,17,1,posterior_vol_var,251891.39158367075,252081.52407899773,190.13249532697955,29.403228952288288,29.42702456147082,0.023795609182531763
ppo_bayeslvr_attention,29,0,posterior_vol_var,5277.8200825906115,5277.8200825906115,0.0,5.935826452523208,5.935826452523208,0.0
ppo_bayeslvr_attention,29,1,posterior_vol_var,14039.068257772393,14039.068257772393,0.0,11.642107315063438,11.642107315063438,0.0
ppo_bayeslvr_attention,7,0,var_lvr_next,3317.609854899075,3317.609854899075,0.0,8.247429299043795,8.247429299043795,0.0
ppo_bayeslvr_attention,7,1,var_lvr_next,131716.2832943211,131730.67861064803,14.395316326932516,20.501504714952077,20.503853963027144,0.0023492480750668676
ppo_bayeslvr_attention,17,0,var_lvr_next,3307.704966912862,3307.704966912862,0.0,8.06401430188219,8.06401430188219,0.0
ppo_bayeslvr_attention,17,1,var_lvr_next,251891.39158367075,251993.1849957278,101.79341205704259,29.403228952288288,29.415899489318896,0.012670537030608386
ppo_bayeslvr_attention,29,0,var_lvr_next,5277.8200825906115,5277.8200825906115,0.0,5.935826452523208,5.935826452523208,0.0
ppo_bayeslvr_attention,29,1,var_lvr_next,14039.068257772393,14467.47937980979,428.41112203739794,11.642107315063438,11.987557209581727,0.3454498945182891
ppo_bayeslvr_gated,7,0,ci90_lvr_width,61638.48847342475,61638.48847342475,0.0,13.920913823710784,13.920913823710784,0.0
ppo_bayeslvr_gated,7,1,ci90_lvr_width,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_gated,17,0,ci90_lvr_width,28500.88335931101,28500.88335931101,0.0,51.61728943294815,51.61728943294815,0.0
ppo_bayeslvr_gated,17,1,ci90_lvr_width,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
