model,seed,window_id,run_name,cumulative_reward,reward_median,reward_ci95_low,reward_ci95_high,sharpe_ratio,sharpe_ci95_low,sharpe_ci95_high,total_fees,total_lvr,gas_cost,fees_to_lvr_ratio,corr_lvr_uncertainty_width
ppo_bayeslvr_attention,17,0,ppo_bayeslvr_attention_seed17_20260504_002014,3307.704966912862,-4.999996320546407,-690.1580277068298,8972.701982028353,8.06401430188219,-16.938679797413272,14.028903793003831,5161.620825668479,813.9158587556168,1040.0,6.341713053189552,-0.008855277781326248
ppo_bayeslvr_attention,17,1,ppo_bayeslvr_attention_seed17_20260504_002014,251891.39158367075,28.32894383916222,196114.3448816819,308081.15169871156,29.403228952288288,25.27130657490749,34.55271027913702,308901.3605204731,54599.96893680232,2410.0,5.657537294169825,-0.06507333716046823
ppo_bayeslvr_attention,29,0,ppo_bayeslvr_attention_seed29_20260504_002108,5277.8200825906115,-0.0579069292272381,454.15109526644295,11650.612218629161,5.935826452523208,2.9565269675690455,8.461740647081381,6360.1003087448125,687.2802261542015,395.0,9.254013234650854,0.002342923190122491
ppo_bayeslvr_attention,29,1,ppo_bayeslvr_attention_seed29_20260504_002108,14039.068257772393,-3.2209311597711467,6737.2672624690285,22084.07999717971,11.642107315063438,8.40399579998417,14.481620063509643,19181.258890792553,4922.190633020166,220.0,3.896894761067651,0.042327482317384486
ppo_bayeslvr_gated,7,0,ppo_bayeslvr_gated_seed7_20260417_215906,61638.48847342475,-87.61771745492688,35456.81982930337,87173.18935128942,13.920913823710784,8.766138720009453,18.29505775917281,167281.88083244418,105643.39235901943,0.0,1.5834580573099353,0.04675306679768068
ppo_bayeslvr_gated,7,1,ppo_bayeslvr_gated_seed7_20260417_215906,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.042327482317384486
ppo_bayeslvr_gated,17,0,ppo_bayeslvr_gated_seed17_20260417_220000,28500.88335931101,14.408505364267992,24587.528225969378,31942.36750208819,51.61728943294815,47.00617148673474,58.26384209996633,36736.05970807023,4085.176348759221,4150.0,8.992527267330324,0.04675306679768068
ppo_bayeslvr_gated,17,1,ppo_bayeslvr_gated_seed17_20260417_220000,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.042327482317384486
ppo_bayeslvr_gated,29,0,ppo_bayeslvr_gated_seed29_20260417_220054,5216.0573140605475,-3.49350060009086,3068.9770414722225,8056.552878335266,13.658256150676106,11.112775258853594,26.278140611225712,8819.416103528949,998.3587894684034,2605.0,8.833914416905197,0.09919801321355835
ppo_bayeslvr_gated,29,1,ppo_bayeslvr_gated_seed29_20260417_220054,518150.63099128107,-1.3691396656662815,322188.81307952007,743038.3423977338,15.58971325958193,13.008476299403013,19.1437575041833,611118.9078481484,92038.27685686732,930.0,6.639834302836044,-0.08621587835682432
ppo_ewma_vol,7,0,ppo_ewma_vol_seed7_20260504_001155,7019.972765014855,-4.999934369852839,584.3373938566666,14015.174449595732,10.00414147049985,2.9588545574054343,14.522829895028108,10655.4979255496,1905.525160534744,1730.0,5.591895686415061,0.12537885385538083
ppo_ewma_vol,7,1,ppo_ewma_vol_seed7_20260504_001155,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.17806294790236007
ppo_ewma_vol,17,0,ppo_ewma_vol_seed17_20260504_001244,28500.88335931101,14.408505364267992,24587.528225969378,31942.36750208819,51.61728943294815,47.00617148673474,58.26384209996633,36736.05970807023,4085.176348759221,4150.0,8.992527267330324,0.25050048167481914
ppo_ewma_vol,17,1,ppo_ewma_vol_seed17_20260504_001244,223248.9946219048,32.00930058098008,173852.7322906408,273735.5899659642,29.260190823458682,25.716197133855207,33.63868270001186,273108.191130823,47674.19650891825,2185.0,5.728637525746943,0.17806294790236007
ppo_ewma_vol,29,0,ppo_ewma_vol_seed29_20260504_001333,3217.5177947074944,-4.999999797677447,-745.9057021563724,9156.75229894323,7.575837090470953,-18.317901919454183,13.814535482000926,5161.404020299383,813.8862255918889,1130.0,6.3416775686869675,-0.16433958091958317
ppo_ewma_vol,29,1,ppo_ewma_vol_seed29_20260504_001333,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.17806294790236007
