model,seed,window_id,split_type,regime,n_steps,sigma_low,sigma_high,cumulative_reward,avg_step_reward,median_step_reward,sharpe_ratio,width_mean,width_median,width_std,action_distribution
ppo_bayeslvr_attention,29,1,median,low,415,0.005260547759978775,0.00877464812492682,15548.687573354016,37.46671704422655,-2.648927983038549,18.488049928942164,10.0,10.0,0.0,"{""0"": 372, ""10"": 43}"
ppo_bayeslvr_attention,29,1,quartile,q1,208,0.005260547759978775,0.0076527614776512485,16161.948114227278,77.70167362609268,-2.118177384231191,27.779917190368,10.0,10.0,0.0,"{""0"": 165, ""10"": 43}"
ppo_bayeslvr_attention,29,1,quartile,q2,207,0.00765609430405071,0.00877464812492682,-613.2605408732607,-2.9626113085664767,-2.922861825188482,-1159.659920024047,10.0,10.0,0.0,"{""0"": 207}"
ppo_bayeslvr_attention,29,1,quartile,q3,207,0.00877686518307358,0.011221973722211651,-745.875226914854,-3.6032619657722416,-3.931973677113613,-45.87325819248531,10.0,10.0,0.0,"{""0"": 207}"
ppo_bayeslvr_attention,29,1,quartile,q4,208,0.011289584285662409,0.020503009953609787,-763.7440886667722,-3.6718465801287126,-7.8472889826594106,-20.993938184620486,10.0,10.0,0.0,"{""0"": 207, ""10"": 1}"
ppo_bayeslvr_gated,7,0,median,high,415,0.0076104117815991865,0.01560724332873508,6682.740023998744,16.102988009635528,-147.77653292352448,2.7887761450605275,10.0,10.0,0.0,"{""0"": 415}"
ppo_bayeslvr_gated,7,0,median,low,415,0.003904311458280414,0.0075938423613455455,54955.74844942601,132.42349023958076,-59.41853956764126,27.73109480186646,10.0,10.0,0.0,"{""0"": 415}"
ppo_bayeslvr_gated,7,0,quartile,q1,208,0.003904311458280414,0.005805996237166947,41831.0156729635,201.11065227386297,-49.6461425869855,41.08182193986625,10.0,10.0,0.0,"{""0"": 208}"
ppo_bayeslvr_gated,7,0,quartile,q2,207,0.005808011775348807,0.0075938423613455455,13124.73277646251,63.404506166485554,-77.3719296431156,13.986253788285456,10.0,10.0,0.0,"{""0"": 207}"
ppo_bayeslvr_gated,7,0,quartile,q3,207,0.0076104117815991865,0.009129738529571883,1159.9784299410621,5.603760531116242,-131.9368226069779,1.0548442330787742,10.0,10.0,0.0,"{""0"": 207}"
ppo_bayeslvr_gated,7,0,quartile,q4,208,0.00913035040892261,0.01560724332873508,5522.761594057683,26.551738432969632,-190.2635177193281,4.284109043362242,10.0,10.0,0.0,"{""0"": 208}"
ppo_bayeslvr_gated,7,1,median,high,415,0.00877686518307358,0.020503009953609787,-97240.54630386306,-234.31456940689893,-196.68213890594436,-195.37996718055135,10.0,10.0,0.0,"{""0"": 415}"
ppo_bayeslvr_gated,7,1,median,low,415,0.005260547759978775,0.00877464812492682,-34619.2894654813,-83.41997461561759,-93.09571657341476,-81.05810834437972,10.0,10.0,0.0,"{""0"": 415}"
ppo_bayeslvr_gated,7,1,quartile,q1,208,0.005260547759978775,0.0076527614776512485,-12808.322926089151,-61.57847560619784,-77.07257257576838,-43.58875241026393,10.0,10.0,0.0,"{""0"": 208}"
ppo_bayeslvr_gated,7,1,quartile,q2,207,0.00765609430405071,0.00877464812492682,-21810.966539392142,-105.36698811300552,-103.95327470062615,-1159.6599200240464,10.0,10.0,0.0,"{""0"": 207}"
ppo_bayeslvr_gated,7,1,quartile,q3,207,0.00877686518307358,0.011221973722211651,-30090.54676096571,-145.36496019790198,-139.94172379812582,-627.0697741906795,10.0,10.0,0.0,"{""0"": 207}"
ppo_bayeslvr_gated,7,1,quartile,q4,208,0.011289584285662409,0.020503009953609787,-67149.99954289736,-322.83653626392964,-308.4944191341143,-319.22762104596046,10.0,10.0,0.0,"{""0"": 208}"
ppo_bayeslvr_gated,17,0,median,high,415,0.0076104117815991865,0.01560724332873508,23816.209823975383,57.3884574071696,31.497206690756204,67.07771126276633,100.0,100.0,0.0,"{""100"": 415}"
ppo_bayeslvr_gated,17,0,median,low,415,0.003904311458280414,0.0075938423613455455,4684.67353533563,11.288369964664168,8.190853970415697,63.257855498919966,100.0,100.0,0.0,"{""100"": 415}"
ppo_bayeslvr_gated,17,0,quartile,q1,208,0.003904311458280414,0.005805996237166947,1658.5055014980985,7.973584141817781,7.010056335165348,62.67868509306662,100.0,100.0,0.0,"{""100"": 208}"
ppo_bayeslvr_gated,17,0,quartile,q2,207,0.005808011775348807,0.0075938423613455455,3026.1680338375318,14.61916924559194,10.447985293505146,68.87382583716516,100.0,100.0,0.0,"{""100"": 207}"
ppo_bayeslvr_gated,17,0,quartile,q3,207,0.0076104117815991865,0.009129738529571883,9144.452600339753,44.176099518549535,28.671909429269125,81.47777130050186,100.0,100.0,0.0,"{""100"": 207}"
ppo_bayeslvr_gated,17,0,quartile,q4,208,0.00913035040892261,0.01560724332873508,14671.757223635628,70.53729434440206,37.395809665433234,66.40593155637681,100.0,100.0,0.0,"{""100"": 208}"
ppo_bayeslvr_gated,17,1,median,high,415,0.00877686518307358,0.020503009953609787,-97240.54630386306,-234.31456940689893,-196.68213890594436,-195.37996718055135,10.0,10.0,0.0,"{""0"": 415}"
ppo_bayeslvr_gated,17,1,median,low,415,0.005260547759978775,0.00877464812492682,-34619.2894654813,-83.41997461561759,-93.09571657341476,-81.05810834437972,10.0,10.0,0.0,"{""0"": 415}"
ppo_bayeslvr_gated,17,1,quartile,q1,208,0.005260547759978775,0.0076527614776512485,-12808.322926089151,-61.57847560619784,-77.07257257576838,-43.58875241026393,10.0,10.0,0.0,"{""0"": 208}"
ppo_bayeslvr_gated,17,1,quartile,q2,207,0.00765609430405071,0.00877464812492682,-21810.966539392142,-105.36698811300552,-103.95327470062615,-1159.6599200240464,10.0,10.0,0.0,"{""0"": 207}"
ppo_bayeslvr_gated,17,1,quartile,q3,207,0.00877686518307358,0.011221973722211651,-30090.54676096571,-145.36496019790198,-139.94172379812582,-627.0697741906795,10.0,10.0,0.0,"{""0"": 207}"
